instance_id,tag,seed,n_vars,mechanism_class,has_self_edge,poset_shape,graham_acyclic,n_realized_patterns,target,true_value,gt_recoverable,gt_evidence,lp_width,witness_delta_phi,sheaf_recoverable,phi_spread_over_fiber,n_distinct_completions,observed_family_completable,conflict_mcar_style,agreement
n2_s018_d0,n2,20288901,2,MNAR_self,True,acyclic,True,4,"['mean', 1]",0.6275678396602448,UNDETERMINED_RELAXED_FRAGILE,round2:no model witness; relaxation varies,0.5,0.0,RECOVERABLE,0.0,1,False,True,UNDECIDED_GT
n2_s018_d1,n2,20288902,2,MNAR_self,True,acyclic,True,4,"['mean', 0]",,RECOVERABLE,formula:anchor_direct,,,RECOVERABLE,0.0,1,False,True,True
n2_s018_d1,n2,20288902,2,MNAR_self,True,acyclic,True,4,"['mean', 1]",0.23295401491597434,UNDETERMINED_RELAXED_FRAGILE,round2:no model witness; relaxation varies,0.5,0.0,RECOVERABLE,0.0,1,False,True,UNDECIDED_GT
n2_s020_d0,n2,20290901,2,MNAR_self,True,acyclic,True,4,"['mean', 0]",0.5462510730139446,UNDETERMINED_RELAXED_FRAGILE,round2:no model witness; relaxation varies,0.5,0.0,RECOVERABLE,0.0,1,False,True,UNDECIDED_GT
n2_s020_d0,n2,20290901,2,MNAR_self,True,acyclic,True,4,"['mean', 1]",,RECOVERABLE,formula:anchor_direct,,,RECOVERABLE,0.0,1,False,True,True
n2_s020_d1,n2,20290902,2,MNAR_self,True,acyclic,True,4,"['mean', 0]",0.21525037264416508,UNDETERMINED_RELAXED_FRAGILE,round2:no model witness; relaxation varies,0.5,0.0,RECOVERABLE,0.0,1,False,True,UNDECIDED_GT
n2_s020_d1,n2,20290902,2,MNAR_self,True,acyclic,True,4,"['mean', 1]",,RECOVERABLE,formula:anchor_direct,,,RECOVERABLE,0.0,1,False,True,True
n2_s021_d1,n2,20291902,2,MNAR_self,True,acyclic,True,4,"['mean', 0]",0.7269120377756995,UNDETERMINED_RELAXED_FRAGILE,round2:no model witness; relaxation varies,0.5,0.0,RECOVERABLE,0.0,1,False,True,UNDECIDED_GT
n2_s021_d1,n2,20291902,2,MNAR_self,True,acyclic,True,4,"['mean', 1]",0.6286955261434934,UNDETERMINED_RELAXED_FRAGILE,round2:no model witness; relaxation varies,0.5,0.0,RECOVERABLE,0.0,1,False,True,UNDECIDED_GT
n2_s023_d1,n2,20293902,2,MNAR_self,True,acyclic,True,4,"['mean', 0]",0.4149724174635555,UNDETERMINED_RELAXED_FRAGILE,round2:no model witness; relaxation varies,0.5,0.0,RECOVERABLE,1.6653345369377348e-15,12,False,True,UNDECIDED_GT
n2_s023_d1,n2,20293902,2,MNAR_self,True,acyclic,True,4,"['mean', 1]",0.4245709542216702,UNRECOVERABLE,model_witness dphi=0.2434 dist=7.8e-16,0.5,0.2433717373627971,UNRECOVERABLE,0.2910368647475356,12,False,True,True
n2_s021_d0,n2,20291901,2,MNAR_self,True,acyclic,True,4,"['mean', 0]",0.8408864230331443,UNDETERMINED_RELAXED_FRAGILE,round2:no model witness; relaxation varies,0.5,0.0,RECOVERABLE,0.0,1,False,True,UNDECIDED_GT
n2_s021_d0,n2,20291901,2,MNAR_self,True,acyclic,True,4,"['mean', 1]",0.45804836390833625,UNDETERMINED_RELAXED_FRAGILE,round2:no model witness; relaxation varies,0.5,0.0,RECOVERABLE,0.0,1,False,True,UNDECIDED_GT
n2_s022_d1,n2,20292902,2,MNAR_self,True,acyclic,True,4,"['mean', 0]",0.1769910584590876,UNDETERMINED_RELAXED_FRAGILE,round2:no model witness; relaxation varies,0.5,0.0,RECOVERABLE,0.0,1,False,True,UNDECIDED_GT
n2_s022_d1,n2,20292902,2,MNAR_self,True,acyclic,True,4,"['mean', 1]",0.6100504727425852,UNDETERMINED_RELAXED_FRAGILE,round2:no model witness; relaxation varies,0.5,0.0,RECOVERABLE,0.0,1,False,True,UNDECIDED_GT
n2_s023_d0,n2,20293901,2,MNAR_self,True,acyclic,True,4,"['mean', 0]",0.8109095834010315,UNDETERMINED_RELAXED_FRAGILE,round2:no model witness; relaxation varies,0.5,0.0,RECOVERABLE,2.220446049250313e-15,12,False,True,UNDECIDED_GT
n2_s023_d0,n2,20293901,2,MNAR_self,True,acyclic,True,4,"['mean', 1]",0.7155120371120578,UNRECOVERABLE,model_witness dphi=0.4250 dist=1.1e-16,0.5,0.42500510660146457,UNRECOVERABLE,0.2932510577903922,12,False,True,True
n2_s022_d0,n2,20292901,2,MNAR_self,True,acyclic,True,4,"['mean', 0]",0.6014864091159811,UNDETERMINED_RELAXED_FRAGILE,round2:no model witness; relaxation varies,0.5,0.0,RECOVERABLE,0.0,1,False,True,UNDECIDED_GT
n2_s022_d0,n2,20292901,2,MNAR_self,True,acyclic,True,4,"['mean', 1]",0.2796439919914029,UNDETERMINED_RELAXED_FRAGILE,round2:no model witness; relaxation varies,0.5,0.0,RECOVERABLE,0.0,1,False,True,UNDECIDED_GT
n2_s024_d0,n2,20294901,2,MNAR_other,False,acyclic,True,4,"['mean', 0]",0.7577562945114463,UNDETERMINED_RELAXED_FRAGILE,round2:no model witness; relaxation varies,0.5,0.0,RECOVERABLE,0.0,1,False,True,UNDECIDED_GT
n2_s024_d0,n2,20294901,2,MNAR_other,False,acyclic,True,4,"['mean', 1]",,RECOVERABLE,formula:anchor_direct,,,RECOVERABLE,0.0,1,False,True,True
n2_s024_d1,n2,20294902,2,MNAR_other,False,acyclic,True,4,"['mean', 0]",0.16226579737612631,UNDETERMINED_RELAXED_FRAGILE,round2:no model witness; relaxation varies,0.5,0.0,RECOVERABLE,0.0,1,False,True,UNDECIDED_GT
n2_s024_d1,n2,20294902,2,MNAR_other,False,acyclic,True,4,"['mean', 1]",,RECOVERABLE,formula:anchor_direct,,,RECOVERABLE,0.0,1,False,True,True
n2_s025_d1,n2,20295902,2,MNAR_other,False,acyclic,True,4,"['mean', 0]",0.2830114535090709,UNDETERMINED_RELAXED_FRAGILE,round2:no model witness; relaxation varies,0.5,0.0,RECOVERABLE,0.0,1,False,True,UNDECIDED_GT
n2_s025_d1,n2,20295902,2,MNAR_other,False,acyclic,True,4,"['mean', 1]",0.33441257766671806,UNDETERMINED_RELAXED_FRAGILE,round2:no model witness; relaxation varies,0.5,0.0,RECOVERABLE,0.0,1,False,True,UNDECIDED_GT
n2_s025_d0,n2,20295901,2,MNAR_other,False,acyclic,True,4,"['mean', 0]",0.6474694385548929,UNDETERMINED_RELAXED_FRAGILE,round2:no model witness; relaxation varies,0.5,0.0,RECOVERABLE,0.0,1,False,True,UNDECIDED_GT
n2_s025_d0,n2,20295901,2,MNAR_other,False,acyclic,True,4,"['mean', 1]",0.7835714141006771,UNDETERMINED_RELAXED_FRAGILE,round2:no model witness; relaxation varies,0.5,0.0,RECOVERABLE,0.0,1,False,True,UNDECIDED_GT
n2_s026_d1,n2,20296902,2,MNAR_self,True,acyclic,True,4,"['mean', 0]",0.6163265682503879,UNDETERMINED_RELAXED_FRAGILE,round2:no model witness; relaxation varies,0.5,0.0,RECOVERABLE,0.0,1,False,True,UNDECIDED_GT
n2_s026_d1,n2,20296902,2,MNAR_self,True,acyclic,True,4,"['mean', 1]",0.39267035905571257,UNDETERMINED_RELAXED_FRAGILE,round2:no model witness; relaxation varies,0.5,0.0,RECOVERABLE,0.0,1,False,True,UNDECIDED_GT
n2_s026_d0,n2,20296901,2,MNAR_self,True,acyclic,True,4,"['mean', 0]",0.30657215940339977,UNDETERMINED_RELAXED_FRAGILE,round2:no model witness; relaxation varies,0.5,0.0,RECOVERABLE,0.0,1,False,True,UNDECIDED_GT
n2_s026_d0,n2,20296901,2,MNAR_self,True,acyclic,True,4,"['mean', 1]",0.4480084578623514,UNDETERMINED_RELAXED_FRAGILE,round2:no model witness; relaxation varies,0.5,0.0,RECOVERABLE,0.0,1,False,True,UNDECIDED_GT
n2_s028_d0,n2,20298901,2,MNAR_self,True,acyclic,True,4,"['mean', 0]",0.827831547302758,UNRECOVERABLE,model_witness dphi=0.3280 dist=2.2e-16,0.5,0.3279901616027187,UNRECOVERABLE,0.3744052790011778,12,False,True,True
n2_s028_d0,n2,20298901,2,MNAR_self,True,acyclic,True,4,"['mean', 1]",,RECOVERABLE,formula:anchor_direct,,,RECOVERABLE,2.220446049250313e-16,12,False,True,True
n2_s028_d1,n2,20298902,2,MNAR_self,True,acyclic,True,4,"['mean', 0]",0.758409802864261,UNRECOVERABLE,model_witness dphi=0.3737 dist=1.1e-16,0.5,0.37369472789955405,UNRECOVERABLE,0.40326314958982673,12,False,True,True
n2_s028_d1,n2,20298902,2,MNAR_self,True,acyclic,True,4,"['mean', 1]",,RECOVERABLE,formula:anchor_direct,,,RECOVERABLE,6.661338147750939e-16,12,False,True,True
n2_s027_d0,n2,20297901,2,MNAR_self,True,acyclic,True,4,"['mean', 0]",0.6511926980045634,UNRECOVERABLE,model_witness dphi=0.0218 dist=2.2e-16,0.5,0.021797468562988476,UNRECOVERABLE,0.03363154600379725,12,False,True,True
n2_s027_d0,n2,20297901,2,MNAR_self,True,acyclic,True,4,"['mean', 1]",0.23277331064364834,UNDETERMINED_RELAXED_FRAGILE,round2:no model witness; relaxation varies,0.5,0.0,RECOVERABLE,2.2121193765656244e-14,12,False,True,UNDECIDED_GT
n2_s027_d1,n2,20297902,2,MNAR_self,True,acyclic,True,4,"['mean', 0]",0.6324544938325375,UNRECOVERABLE,model_witness dphi=0.0312 dist=1.1e-16,0.5,0.031216123548916674,UNRECOVERABLE,0.04028304435454133,12,False,True,True
n2_s027_d1,n2,20297902,2,MNAR_self,True,acyclic,True,4,"['mean', 1]",0.37474818690092737,UNDETERMINED_RELAXED_FRAGILE,round2:no model witness; relaxation varies,0.5,0.0,RECOVERABLE,7.271960811294775e-15,12,False,True,UNDECIDED_GT
n2_s030_d1,n2,20300902,2,MNAR_self,True,acyclic,True,4,"['mean', 0]",0.4172739592028537,UNRECOVERABLE,model_witness dphi=0.2160 dist=1.1e-16,0.5,0.2159752861506713,UNRECOVERABLE,0.291462915203211,12,False,True,True
